SummitCode,SummitName,Longitude,Latitude,Points
G/WB-017,Shobdon Hill,-2.90721,52.27141,1
G/WB-018,View Edge,-2.8502,52.42383,1
G/WB-019,May Hill,-2.44389,51.88919,1
G/WB-020,Burton Hill,-2.88595,52.13408,1
G/WB-021,Ruardean Hill,-2.53141,51.84961,1
G/WB-022,Seager Hill,-2.54979,52.03859,1
G/WB-023,Hegdon Hill,-2.60798,52.18197,1
G/WB-024,Aconbury Hill,-2.7211,51.9932,1
GD/GD-001,Snaefell,-4.46163,54.26329,8
GD/GD-002,Slieau Freoaghane,-4.54903,54.26394,4
GD/GD-003,South Barrule,-4.66929,54.14948,4
GD/GD-004,Bradda Hill,-4.76354,54.10438,1
GD/GD-005,Mull Hill,-4.76811,54.07313,1
GI/AH-001,Trostan,-6.1554,55.04572,4
GI/AH-002,Knocklayd,-6.25102,55.16211,4
GI/AH-003,Slieveanorra,-6.22472,55.07418,4
GI/AH-004,Divis,-6.01851,54.61128,2
GI/AH-005,Agnew's Hill,-5.93421,54.84438,2
GI/AH-006,Mid Hill,-6.12361,54.97432,2
GI/AH-007,Slemish,-6.09737,54.88135,2
GI/AH-008,Big Collin,-6.08494,54.80212,1
GI/AH-009,Carnearny,-6.17355,54.76844,1
GI/AH-010,Slievetrue,-5.91023,54.73203,1
GI/AH-011,Cross Slieve,-6.06458,55.09738,1
GI/CA-001,Slieve Gullion,-6.43344,54.12186,4
GI/CA-002,Camlough Mountain,-6.39466,54.16602,2
GI/CA-003,Carrigatuke,-6.61536,54.22972,1
GI/CA-004,Croslieve,-6.46954,54.08703,1
GI/CA-005,Tievecrom,-6.43784,54.07674,1
GI/MM-001,Slieve Donard,-5.9208,54.18027,10
GI/MM-002,Slieve Commedagh,-5.93875,54.18873,8
GI/MM-003,Slieve Binnian,-5.98001,54.14193,8
GI/MM-004,Slieve Bearnagh,-5.98953,54.1842,8
GI/MM-005,Slieve Meelbeg,-6.00829,54.18373,8
GI/MM-006,Slievelamagan,-5.96606,54.16613,8
GI/MM-007,Slieve Muck,-6.03965,54.15801,6
GI/MM-008,Eagle Mountain,-6.09726,54.14012,6
GI/MM-009,Slievemoughanmore,-6.08916,54.14988,4
GI/MM-010,Slieve Croob,-5.97346,54.34001,4
GI/MM-011,Slievemartin,-6.16512,54.09356,2
GI/MM-012,Slievenaglogh,-6.01311,54.13966,2
GI/MM-013,Gruggandoo,-6.16351,54.16451,1
GI/MM-014,Knockchree,-6.05845,54.08649,1
GI/MM-015,Slievenalargy,-6.01079,54.25194,1
GI/MM-017,Cairngaver,-5.74957,54.61626,1
GI/SM-001,Sawel Mountain,-7.03942,54.81971,6
GI/SM-002,Mullaghclogha,-7.13413,54.80646,6
GI/SM-003,Mullaghaneany,-6.93477,54.83073,6
GI/SM-004,Carnanelly,-6.952,54.77233,4
GI/SM-005,Mullaghmore,-6.85098,54.8497,4
GI/SM-006,Mullaghcarn,-7.20943,54.67432,4
GI/SM-007,Slieve Gallion,-6.76124,54.73186,4
GI/SM-008,Mullaghash,-7.00412,54.86075,2
GI/SM-009,Benbradagh,-6.8741,54.94406,2
GI/SM-010,Curraghchosaly Mountain,-7.25933,54.70089,2
GI/SM-011,Owenreagh Hill,-7.34755,54.80919,2
GI/SM-012,Balix Hill,-7.26197,54.81139,2
GI/SM-013,Donald's Hill,-6.83979,54.99764,1
GI/SM-014,Loughermore,-7.08073,54.98442,1
